post,tags
create data uri s on the fly   is there a script (javascript / client side). that create data uri s on the fly. now i create data uri s with a online base64 creator. and then put that output in the css file. but when i changing the images. its a lot of work to do it. is there a script  that can do it for me.,javascript|base64
push certain project files to different repo   i wish to push certain files (executable jars from the project) to different repo.    can i do this with just git     can i do this with git + gradle,java|git|gradle
if any option from a group is selected  then all options in other group should get disabled using bootstrap multiselect (optgroups)  i am using bootstrap multiselect (<a href= https://davidstutz.github.io/bootstrap-multiselect/  rel= nofollow noreferrer >https://davidstutz.github.io/bootstrap-multiselect/</a>)    i have 2 groups inside the dropdown.    upon selecting any option in top group  all the items in second group should get disabled.     i should be able to select  any of the options from the second group.     my controller to bind the data  the list is grouped by county_category. :   <pre><code>public void chdslist()     {list&lt;selectlist&gt; chdslistlist = new list&lt;selectlist&gt;();         viewdata[ chdslist ] = new selectlist((from s in objentity.tbl_countiesmst.tolist().orderby(a =&gt; a.county_code)                                  select new                                   {                                        county_code = s.county_code                                         county_name = s.county_code +  -   + s.county_name                                         county_category = s.county_category                                   })   county_code    county_name    county_category   1);       } </code></pre>   in the view  i have this...   <pre><code>$( .listbox ).multiselect({         includeselectalloption: false          buttonwidth:  100%           maxheight: 200          enableclickableoptgroups: true   })  @html.listbox( chdlistbox   (selectlist)(ienumerable&lt;selectlistitem&gt;)viewdata[ chdslist ]           new { @class =  listbox   @style =  text-align:left; multiple=multiple;                width:100px;min-width:100%; height:30px; border-color:lightblue  }) </code></pre>   <a href= https://i.stack.imgur.com/j54vw.jpg  rel= nofollow noreferrer >multiselect dropdown image</a>,asp.net-mvc|twitter-bootstrap|bootstrap-multiselect
wikipedia api sandbox  search by user s input  trying to search in wikipedia by user s input but it doesn t work for some reason. first i thought it could be due to cross domain problem. but .ajax should help with that.    here is codepen: <a href= http://codepen.io/ekilja01/pen/prerpb  rel= nofollow noreferrer >http://codepen.io/ekilja01/pen/prerpb</a>    here is my <strong>html:</strong>   <pre><code>&lt;script src= https://use.fontawesome.com/43f8201759.js &gt; &lt;/script&gt;   &lt;body&gt;    &lt;h2 class= headertext &gt;wikipedia  &lt;br&gt; viewer &lt;/h2&gt;     &lt;div class= row &gt;     &lt;div class= col-10-md &gt;        &lt;input class= searchrequest blink_me  id= cursor  type= text  placeholder= __ &gt;&lt;/input&gt;      &lt;/div&gt;      &lt;div class= searchicon col-2-md &gt; &lt;/div&gt;   &lt;/div&gt;  &lt;div&gt;   &lt;p class=results&gt;&lt;/p&gt; &lt;/div&gt;   &lt;/body&gt; </code></pre>   here is my <strong>jquery:</strong>      <pre><code>$(document).ready(function() {    var icon =  &lt;i class= fa fa-search fa-2x &gt;&lt;/i&gt; ;    $( #cursor ).on( keydown   function() {     $(this).removeclass( blink_me );     var searchicon = $( .searchicon );      searchicon.empty();     if ($( .searchrequest ).val().length &gt; 0) {       searchicon.append(icon);     }           searchicon.on( click   function() { console.log( clicked! );         var search = $( .searchrequest ).val();        var url =  https://en.wikipedia.org/w/api.php action=opensearch&amp;format=json&amp;search=  + search +  &amp;format=json&amp;callback=  ;          $.ajax({         datatype:  jsonp           url: url          success: function(data) {           $( .results ).html(data[0]);            console.log(data[0]);              }        });     });   }); }); </code></pre>   what am doing wrong  please help.,javascript|jquery|json|jsonp
detecting a specific network connection in java  is there a way to detect if a computer is connected to a certain ip address - probably by intercepting all requests that go through the network and check if one was sent to a specific ip,java|networking|request|ip|detect
rails sti: single path  different controller  have sti classes:    <pre><code>class page &lt; activerecord::base   belongs_to :user end  class firsttypepage &lt; page end  class secondtypepage &lt; page end </code></pre>   controllers for each class    <pre><code>class pagecontroller &lt; aplicationcorroller end  class firsttypepagecontroller &lt; pagecontroller end  class secondtypepagecontroller &lt; pagecontroller end </code></pre>   and routings:   <pre><code>resources :user   resource :page end </code></pre>   how to handle firsttypepage by firsttypepagecontroller  secondtypepage by secondtypepagecontroller on single path     i.e.    user/1/page/2 is handled by:  firsttypepagecontroller if  page 2  type is  firsttypepage   and by secondtypepagecontroller if  page 2  type is  secondtypepage       <strong>update: my solution:</strong>   <pre><code>  match  user/:user_id/page/:action       :controller=&gt; page/first_type_page       :constraints=&gt;pageconstraints.new( firsttypepage )   match  user/:user_id/page/:action       :controller=&gt; page/second_type_page       :constraints=&gt;pageconstraints.new( secondtypepage )  class pageconstraints    @@cache ||= {}    def initialize o_type     #@mutex = mutex.new     @o_type = o_type   end    def matches (request)     user_id = request.params[:user_id]     #add mutex lock here     unless page_type = @@cache[user_id]       page_type = user.find(user_id).do_some_magik_to_suggest_type       @@cache[page_id] = page_type       @@cache.shift if @@cache.size &gt; 1000     end     page_type == @o_type   end  end </code></pre>   i think this solution will work fast on a small amount of page types  and we can manage memory size  used for routings on a large amount of pages,ruby-on-rails|ruby|routing|sti
eclipse: is it possible to have cdt and java ide together  i have an eclipse cdt enviroment up and running and customised just the way i like it. i m also going to be heavily dealing with java soon and i don t want to install a seperate version of eclipse just to get the java features as i ll be switching between c->c++->ada->java quite often so i d wont the one ide to support all languages. at the moment i ve got c/c++ and ada working together (cdt + gnat workbench). how can i get the eclipse java ide with out installing eclipse from scratch again.    thanks,java|eclipse|cdt
javascript encodeuricomponent and converting spaces to + symbols  i would like to encode my url  but i want to convert spaces to plus symbols.    this is what i attempted to do...   <pre><code>var search =  testing this here &amp; ;  encodeuricomponent(search.replace(/ /gi  + )); </code></pre>   the output from that is <code>testing%2bthis%2bhere%2b%26</code> but what i would like it to be is <code>testing+this+here+%26</code> i tried replacing the space with <code>%20</code> to convert it into a plus symbol  but that didn t seem to work. can anyone tell me what it is i m doing wrong here,javascript|regex|replace|encodeuricomponent
how can sort a 2d array with the use of thread pools and the callable interface   hi guys i am trying to sort a 2d array using thread pools to measure execution time and compare it when i increase the number of threads and the total number of elements in the array. i ve done some coding but apparently it is running very slow and i am getting null pointer exceptions for some reason. i think the reason lies in the use of the integer array since callable cant work with primitive int[] arrays. help will be much appreciated   <pre><code>public class matrixbubblesort {   public static void main(string[] args) throws interruptedexception  executionexception {     matrixbubblesort obj = new matrixbubblesort();     string resultmatrix =   ;     resultmatrix = obj.sort2d();     system.out.println(resultmatrix);      }  public string sort2d() throws interruptedexception  executionexception {     long start = 0;     long end = 0;     int rows = 5;     int cols = 5;     integer[][] matrix = new integer[rows][cols];     future&lt;integer[]&gt;[] returned;     returned = new future[rows];     sorter[] tasks = new sorter[rows];       executorservice executer = executors.newfixedthreadpool(5);       for(int r = 0; r&lt; rows; r++ ){          for(int c = 0; c &lt; cols; cols++){              matrix[r][c] = (int) (math.random() * (rows*cols));          }      }     system.out.print(printarr(matrix) +  \n );        start = system.currenttimemillis();      for(int r = 0; r&lt; rows; r++ ){         tasks[r] = new sorter(matrix[r]);          returned[r] = executer.submit(tasks[r]);      }       executer.shutdown();      executer.awaittermination(1  timeunit.days);      end = system.currenttimemillis();      for(int r = 0; r&lt; rows; r++ ){      matrix[r] = returned[r].get();              }      system.out.print( time taken =   + (end - start) +  \n );       return printarr(matrix); </code></pre>   }   <pre><code>public static string printarr(integer[][] arr){     string out =   ;     for(int i = 0; i &lt; arr.length;i++ ){         for(int c = 0; c &lt; arr[i].length;c++ ){             out += arr[i][c].intvalue();         }         out +=  \n ;     }     return out; </code></pre>   } }    class sorter implements callable{     private final integer[] array;   <pre><code>sorter(integer[] array){     this.array = array.clone(); }  @override public integer[] call() throws exception {     boolean swap = true;     int buffer = 0;         while(swap){             swap = false;         for(int i = 0; i &lt; array.length -1; i++){             if(array[i].intvalue() &gt; array[i+1].intvalue()){                 buffer = array[i].intvalue();                 array[i]= array[i+1].intvalue();                 array[i+1] = buffer;                 swap = true;           }           }         }          return array; } </code></pre>   },java|arrays|multithreading|threadpool
can you get class comment programatically  is it possible (is there a neat way) to get the class comment using reflection  i could read the .java file and get the comment but its possible there might not be one so if i look for the first instance of /** and then */ i could end up with a method comment.    please could you avoid code solutions as i want to crack this myself.,java|reflection
why won t the intro start without using a timeout   i am in the process of installing an outside js plugin called intro.js <a href= https://github.com/usablica/intro.js3  rel= nofollow >https://github.com/usablica/intro.js3</a>. according to the install instructions  the only files needed are <code>intro.js</code> and <code>introjs.css</code> and then a <code>introjs().start();</code> call can be made.    here is my environment setup :<br>   1. the official jquery meteor package is installed <a href= https://atmospherejs.com/meteor/jquery  rel= nofollow >https://atmospherejs.com/meteor/jquery</a><br>   2. <code>intro.js</code> file is inside a <code>client/lib/js</code> directory.<br>   3. <code>introjs.css</code> file is inside a <code>client/lib/stylesheets/</code> directory<br>   4. since the js will span multiple pages my call is in <code>body.onrendered</code> like so :   <pre><code>template.body.onrendered(function () {     introjs().start(); }); </code></pre>   which does not work  but using a <code>timeout</code> solves the issue :   <pre><code>template.body.onrendered(function () {     settimeout(function() { introjs().start(); }  5000); }); </code></pre>   why does using a timeout solve the issue <br> is it possible to not use one  is so  how,javascript|meteor|intro.js
jquery .on() not binding event-handler  i m trying to attach an event handler to every row in a dynamically-changing table with no success (using jquery version 1.11.0)  * edit: as many have pointed out   <strong>hover</strong>  is depricated  but my problem also exists with other handlers*   <pre><code>$( #tablebody tbody ).on( hover    tr   function() {     alert( hovering on a row ); }); </code></pre>   the above code is pretty much identical to the jquery documentation- <a href= http://api.jquery.com/on/  rel= nofollow >http://api.jquery.com/on/</a>  and i ve tried other variations  like    <pre><code>$(document).on( hover    .tablerow   function(){...}); </code></pre>   the event handler just isn t getting added.  i should note that the table s contents are retrieved though ajax and then displayed  which is why i m using the .on() method.,javascript|jquery
rails <ol> numbers reset at each page using kaminari  have a news story display  similar to hackernews  that uses an <code>&lt;ol&gt;</code> tag for numbering and vote ranking. when trying to paginate using the kaminari gem the <code>&lt;li&gt;</code> numbers of each article get reset to 1-20 on every page.    i ve tried using css counter-reset and counter-increment  but i cannot get it to work yet. i also tried manually adding counter-reset for each page  but if the site somehow sees more than 5 pages  i ll have to manually encode the increments  which isn t possible.    i m wondering if there s a js solution.     here s the index method of my <strong>stories_controller</strong>:   <pre><code>def index     if params[:sort] &amp;&amp; params[:sort].to_sym == :newest       @stories = story.order( created_at desc ).page(params[:page]).per(20)     else       @stories = story.order( karma desc ).page(params[:page]).per(20)     end end </code></pre>   here s my story <strong>index.html.haml</strong>:   <pre><code>%ol   - @stories.each do |story|     = render partial:  story   locals: { story: story  tag_type: :li } = paginate @stories </code></pre>   and the <strong>_story.html.haml</strong> partial off the above:   <pre><code>= content_tag defined (tag_type)   tag_type : :div  class:  story  do   = link_to  ⇧   upvote_story_url(story)  class:  upvote   method: :post   %div     .title       = link_to story.title.titlecase  story.url       %span.link-domain (#{story.url_domain})     .metadata       = statusline story       |       = link_to  comments   story  class:  comments-link        =  (#{story.comments.all.count})  </code></pre>   and finally my relevant css:   <pre><code>ul  ol {     margin: 0 1.5em 1.5em 0;     padding-left: 2.0em;     counter-reset: section;     li {       margin: 10px;     }   }    li {     float: top;     counter-increment: section;   } </code></pre>   thanks in advance for any help or new ideas!    <strong>edit:</strong>    fixed this by taking out the ordered list tag and switching to a unordered list with list-style-type set to none to remove the bullet.    here s the code i used in the haml view:   <pre><code>- if params[:page].nil  || params[:page] ==  0  || params[:page] ==  1      - x = 0   - else     - page = params[:page].to_i - 1     - x = page * 15    - @stories.each_with_index do |story  index|     = content_tag defined (tag_type)   tag_type : :div  class:  story  do       %li         .title           .story_number             = index + x + 1           = etc... </code></pre>,ruby-on-rails-3|pagination|will-paginate|kaminari
iis using machine name for sql server authentication  after moving my mvc 4 applicaiton on production the iis is using    <pre><code>domain/machinename$  </code></pre>   to access the sql database on a different server. the sql server is configured to accept connection from    <pre><code>mydomain/myuser </code></pre>   i m wondering how to fix this and make it pass the correct credentials  in my connection string i have    <pre><code>integrated security=sspi </code></pre>   and i deployed as my user,sql-server|asp.net-mvc-4|iis
rmi notification from server to client on update  i m writing a dummy shipping app. the client sends a product  and the server keeps all products that are sent.     now the server - because it is just virtual - updates the state of the product every minute (send -> accepted -> shipped -> received)  now i want the server to update the corresponding client when it has updated the state.    most rmi information i fiend only talks about client -> server.. but i need my server to call my client for this one..    hope you guys can help !,java|client-server|rmi|distributed
exposing azure end point on web app  i ve been experimenting with microsoft s graph api and i m hooking onto exchange mailboxes (basically monitoring the <code>mail.read</code>).     i ve been using <code>ngrok</code> to open up an end point for testing this code locally. however i don t know how to expose this on my azure webapp.     the documentation says that it is possible however i ve followed the instructions <a href= https://github.com/microsoftgraph/aspnet-webhooks-rest-sample  rel= nofollow noreferrer >here</a>. so i ve got the whole ngrok thing working correctly; but i can t for the life of me get this to work on azure.     i ve also registered my app on the office 365 portal. a valid id and secretkey was also issued.     the structure of my web app is as follows:     <a href= https://xxx.azurewebsites.net/app/subscription/index  rel= nofollow noreferrer >https://xxx.azurewebsites.net/app/subscription/index</a>  that s where the user actually goes and consents the webapp so we can use the graph api.     the notifications listener is here : /app/notification/listen    here s a snippet of my <code>web.config</code> file if any one can spot what s going wrong.     <a href= https://i.stack.imgur.com/hsgz3.png  rel= nofollow noreferrer ><img src= https://i.stack.imgur.com/hsgz3.png  alt= enter image description here ></a> much appreciated,asp.net-mvc|azure|microsoft-graph|ngrok
can t fabricate many items with fabrication-gem and mongoid  i m using fabrication-gem gem  with databasecleaner and mongoid orm on rspec tests. here are my scripts:    <strong>spec/support/database_cleaner.rb</strong>   <pre><code>rspec.configure do |config|   config.before(:suite) do     databasecleaner.strategy = :truncation     databasecleaner.clean_with(:truncation)   end end </code></pre>   <strong>spec/fabricators/client_fabricators.rb</strong>   <pre><code>fabricator(:client) do   auth_id { (securerandom.hex)[0..3] }   base_url { faker::internet.url } end </code></pre>   finally  <strong>spec/requests/clients_spec.rb</strong>   <pre><code>before(:all) do   databasecleaner.start   @clients = fabricate.times(2  :client) end  after(:all) do # use after :all so data stays around until the end of the block   databasecleaner.clean end  it {...} it {...} ... </code></pre>   unfortunately  i get as many errors as i have <code>it {...}</code> blocks in my <code>context</code>  all with the same error message from mongoid:   <pre><code>failure/error: @clients = fabricate.times(2  :client) mongoid::errors::documentnotfound:    problem:     document not found for class client with attributes {:auth_id=&gt; 7123 }. </code></pre>   note that if i use <code>@clients = fabricate.times(1  :client)</code> (which means fabricate only one client) it works perfectly. so i think that the problem is in databasecleaner (i tried many configurations  but all unsuccessfully).    i m using ruby 2.2.0  rails 4.2.0 (rails-api  to be exact)  databasecleaner 1.4.1  mongoid 4.0.2 and fabrication 2.13.1    do you have any idea on how to fix that  thanks.,ruby-on-rails|rspec|mongoid|database-cleaner|fabrication-gem
how does java.util.function.function.compose() work   the functional interface <a href= https://docs.oracle.com/javase/8/docs/api/java/util/function/function.html  rel= nofollow >function</a> in java 1.8 implements <a href= https://docs.oracle.com/javase/8/docs/api/java/util/function/function.html#compose-java.util.function.function-  rel= nofollow >compose()</a> as shown:   <pre><code>default &lt;v&gt; function&lt;v  r&gt; compose(function&lt;  super v    extends t&gt; before) {     objects.requirenonnull(before);     return (v v) -&gt; apply(before.apply(v)); } </code></pre>   my understanding of lambda expressions (possibly incorrect) is that the above return statement is syntactic sugar for:   <pre><code>    return new function&lt;v  r&gt;() {         r apply(v v) {             return apply(before.apply(v));         }}; </code></pre>   this statement would be illegal because  as an interface  <code>function&lt;v  r&gt;</code> should not be instantiable.  so how does the above method work,lambda|java-8
pass geckofx dom elements to javascript navigation calls  using geckofx web browser  is it possible to pass a geckoelement through javascript like this    <pre><code>webbrowser.navigate( javascript:void( +ele.domobject+ .onclick()) ); </code></pre>   i m selecting the dom element through javascript (this works fine) atm  but i have the element in c#.,c#|javascript|dom|geckofx
why loading indicator is not shown when an ssrs report is being rendered by reportviewer   typically  when an application is rendering a ssrs report  a spinning wheel with a cancel button will be displayed like the following:    <a href= https://i.stack.imgur.com/ccoy8.png  rel= nofollow noreferrer ><img src= https://i.stack.imgur.com/ccoy8.png  alt= loading image ></a> <br> however  i did not see the loading indicator in my application. the reports take 10s to 30s to show and work perfectly.    here is my environment: <br> sql server 2012  visual studio 2015.    i am using report viewer asp.net control to display data in remote mode and code behind.     <br> here is the code: <br>   <pre><code>&lt;%@ page language= c#  autoeventwireup= true  codebehind= genericreport.aspx.cs  inherits= pwc.us.am.presentation.reports.getreportaction  %&gt; &lt;%@ register assembly= microsoft.reportviewer.webforms  version=11.0.0.0  culture=neutral  publickeytoken=89845dcd8080cc91  namespace= microsoft.reporting.webforms  tagprefix= rsweb  %&gt;  &lt;!doctype html&gt;  &lt;html xmlns= http://www.w3.org/1999/xhtml  &gt;     &lt;head id= head1  runat= server &gt;         &lt;title&gt;report&lt;/title&gt;         &lt;style type= text/css &gt;             html body form {height:100%}             body { font-size: .75em; font-family: georgia; margin: 0; padding: 0; }         &lt;/style&gt;     &lt;/head&gt;     &lt;body&gt;         &lt;form id= form1  runat= server &gt;               &lt;asp:scriptmanager id= scriptmanager1                                  runat= server                                 enablepartialrendering= true &gt;&lt;/asp:scriptmanager&gt;              &lt;rsweb:reportviewer style= display:table; margin:0px; overflow: auto                                   id= reportviewer1                                   runat= server                                   processingmode= remote                                   width= 100%                                   height= 100%                                   showcredentialprompts= false                                   showbackbutton= true                                  asyncrendering= true                                  onprerender= reportviewer_prerender &gt;             &lt;/rsweb:reportviewer&gt;         &lt;/form&gt;     &lt;/body&gt; &lt;/html&gt; </code></pre>   here are the solutions that i have tried but do not work:<br> 1. set asyncrendering to true.<br> 2. delete <code>&lt;xhtmlconformance mode= legacy /&gt;</code> in web.config. however my web.config does not have this line. <br> 3. set enablepartialrendering= true  in the script manager.<br> 4. set waitcontroldisplayafter to 0. <br> 5. change other settings in report viewer.    here is something interesting:<br> 1. if you check the html code of the report page  you actually do see the wait control. however  the display property is set to none.<br> i tried to write javascript to make it show and it succeed. however  the cancel button does not work.<br> here is the html code of the spinning wheel:<br>   <pre><code>&lt;div id= reportviewerdisplay_asyncwait_wait  style= cursor:wait;background-color:#dc9ce4;padding:15px;border:1px solid black;display:none;position:absolute; &gt;         &lt;table height= 100% &gt;             &lt;tr&gt;                 &lt;td width= 32px  height= 32px &gt;                     &lt;img src= /reserved.reportviewerwebcontrol.axd optype=resource&amp;amp;version=10.0.30319.1&amp;amp;name=microsoft.reporting.webforms.icons.spinningwheel.gif  style= height:32px;width:32px; /&gt;                 &lt;/td&gt;                 &lt;td style= vertical-align:middle;text-align:center; &gt;                     &lt;span style= font-family:verdana;font-size:14pt; &gt;loading...&lt;/span&gt;                      &lt;div style= margin-top:3px; &gt;                         &lt;a href= javascript:$get(&amp;#39;reportviewerdisplay_asyncwait&amp;#39;).control._cancelcurrentpostback();  style= font-family:verdana;font-size:8pt;color:#3366cc; &gt;cancel&lt;/a&gt;                     &lt;/div&gt;                 &lt;/td&gt;             &lt;/tr&gt;         &lt;/table&gt; &lt;/div&gt; </code></pre>   <br> 2. when i go to report manager in the browser to check the reports  it does show the loading image. it is only my application that does not show the loading image.    the goal is to make the spinning wheel show and cancel button work. could anyone please help me,c#|asp.net|reporting-services|report|reportviewer
complex animation in jquery  i want to achieve a complex animation sequence in <em>jquery</em> and <em>javascript</em>. my plan is to move <strong>a div</strong> along a path described by several x y coordinates. i want to know:   <ol> <li>how can i force the div along a particular path</li> <li>how can i control how far along the path the div should be moved. for instance i want to be able to control how far it has got as a percentage of the total length of the path and to be able to animate it moving smoothly down it. i would also like to be able to tell it to jump instantly to a different point on the path  reverse and change speeds. </li> </ol>   is there a plugin or something similar that can achieve this. i m aware this sort of thing would usually belong in flash but that isn t an option here.,javascript|jquery|animation
