tags,post
java,which game programming api   so i was just curious  i am starting to learn how to develop games in java and was interested  which graphics api (application programming interface) would one use to develop games  i have seen a few out there (including engines  that do a substantial amount of the work for you) such as:   <pre><code>java3d  jmonkeyengine   java opengl  </code></pre>   and i was wondering  what others are out there and what is a generally good graphics api to start out with  i am going to start out with programming 2d games and i hope to move over to 3d game programming  so i would like to know about graphics api s that support both 2d and 3d. maybe even add in what your experiences were with your selected api. just curious
javascript|angularjs|angularjs-ng-form,access a form (for validation) from another a different angularjs component  i have two components.  one has a form it in and the other has navigation where when clicked on the nav button  i need to get access to the form to make sure it s validating before moving on to the next step.  however  the form is always undefined when i try to access it from another component.  is it possible to access the form from another component and if so  how can i accomplish this     <a href= https://i.stack.imgur.com/ualjs.png  rel= nofollow noreferrer ><img src= https://i.stack.imgur.com/ualjs.png  alt= enter image description here ></a>    <a href= https://plnkr.co/edit/jgs5jsvpfp7muw3cwdl9 p=preview  rel= nofollow noreferrer >here s my sample code in plunker</a>    <strong>index.html</strong>   <pre><code>&lt;!doctype html&gt; &lt;html&gt;  &lt;head&gt;   &lt;script data-require= angularjs@1.5.8  data-semver= 1.5.8  src= https://opensource.keycdn.com/angularjs/1.5.8/angular.min.js &gt;&lt;/script&gt;   &lt;link rel= stylesheet  href= style.css  /&gt;   &lt;script src= script.js &gt;&lt;/script&gt; &lt;/head&gt;  &lt;body ng-app= app &gt;    &lt;form-component&gt;&lt;/form-component&gt;   &lt;nav-component&gt;&lt;/nav-component&gt; &lt;/body&gt;  &lt;/html&gt; </code></pre>   <strong>script.js</strong>   <pre><code>// code goes here  function checkform(form) {   if (form) {       if (form.$valid) {         alert( form is valid! );       }        else       {         alert( form is invalid! );       }     }     else {       alert( failed! form is undefined! );     } }  function formcontroller() {   var model = this;    model.gotonextstep = function(form) {     model.form = form;     checkform(form);   };  }  function navcontroller() {   var model = this;    model.gotonextstep = function(form) {     model.form = form;     checkform(form);   };  } </code></pre>    <pre><code>var app = angular.module( app   []);  app.component( formcomponent   {     template: `       &lt;div class= container &gt;         &lt;form name= mainform &gt;           &lt;p&gt;when you click the button that exists in the same component              as the form  everything works fine.\           &lt;/p&gt;           &lt;input type= text  name= test123  value= this is a test  /&gt;           &lt;button type= button  ng-click= model.gotonextstep(mainform); &gt;             submit form           &lt;/button&gt;         &lt;/form&gt;         &lt;br /&gt;&lt;strong&gt;formcomponent model:&lt;/strong&gt; &lt;pre&gt;{{model | json }}&lt;/pre&gt;       &lt;/div&gt;     `      controlleras:  model       controller: [formcontroller] });   app.component( navcomponent   {     template: `       &lt;div class= container &gt;         &lt;p&gt;when you click the button that does not exist in the same            component as the form  it doesn t work.         &lt;/p&gt;         &lt;button type= button  ng-click= model.gotonextstep(mainform); &gt;submit form&lt;/button&gt;         &lt;br /&gt;&lt;br /&gt;&lt;strong&gt;navcomponent model:&lt;/strong&gt;         &lt;pre&gt;{{model | json }}&lt;/pre&gt;       &lt;/div&gt;     `      controlleras:  model       controller: [navcontroller] }); </code></pre>
sql|sql-server|sql-server-2005|monitoring,how can i monitor the executed sql statements on a sql server 2005  in a project of mine the sql statements that are executed against a sql server are failing for some unknown reason. some of the code is already used in production so debugging it is not an easy task. therefore i need a way to see in the database itself what sql statements are used  as the statements are generated at runtime by the project and could be flawed when certain conditions are met.     i therefore considered the possibility to monitor the incoming statements and check myself if i see any flaws.     the database is running on a sql server 2005  and i use sql server management studio express as primary tool to manipulate the database. so my question is  what is the best way to do this
java|image|graphics|awt|mpeg-4,java.awt -- when java outputs an image to my monitor (screen)  where is the file that is output to the monitor card   suppose that i am drawing a set of images using java graphics objects. suppose that i java is outputting these images to my monitor. where is the file or files that are sent to the monitor card (the graphical representation files). how can i take this file and save it to disk  or how can i take this file and write it to an array  or how can i take these files and combine the results of their output (to the monitor) into a single file for saving  i don t want to use a screen shot feature  i want to be able to redirect (xor capture also) the output to the monitor to some sort of byte-stream. i note that monitors are much better than semaphores  when you are talking about display capabilities; i don t need a counter example.     i might not be asking the correct question. it might be that i want to capture the file while it is still in user space  before it is put into  device space . i would like to try and capture the byte stream so that i can convert it to mpeg-4 format. i either need a streaming output from the mpeg-4 converter  coming from the streaming input  or else  i need to take static images at discrete times and convert the images.     what format will the output from user space be in  what format will the device space output be in  try to keep speculation to a minimum.     <a href= http://docs.oracle.com/javame/config/cdc/opt-pkgs/api/jsr927/index.html  rel= nofollow >http://docs.oracle.com/javame/config/cdc/opt-pkgs/api/jsr927/index.html</a>     i guess that java has made a means of displaying awt objects on a television screen. (java tv).
sql|ms-access|jdbc|ms-access-2010,select distinct query with numeric totals of other field for each distinct  how do i write the following select  query in an ms access 2010 database       here is the situation:  kids in school get put in detention for bad behavior.  some parents have numerous kids.  <strong>how can i get a list of parents that has the total number of detentions earned by all of that parent s kids </strong>      here is the data structure: <code>badparentstable</code> has fields <code>childname</code>  <code>parentname</code> and <code>numberofdetentions</code>.  childname and parentname are text datatype.  numberofdetentions is number datatype.  sample data looks like;     <pre><code>childname     parentname    numberofdetentions   sally         georgep        12 fred          saml           2 sue           georgep        5 joe           saml           10 </code></pre>   the results should therefore be:     <pre><code>georgep    17 saml       12 </code></pre>   let s assume each child has only one parent.    <strong>i guess i would try <code>select distinct parentname from badparentstable</code>  but how do i write the sql to get the sum of each parent s <code>numberofdetentions</code> </strong>    i am running this native query from java using jdbc  so it is really more like: <code>resultset rs = s.executequery( select distinct parentname from badparentstable );</code>
angular|leaflet|ionic2,in ionic2 leaflet marker is not accept draggable feature   in this code <code>{draggable: true }</code>feature is not accepted and makes error:   <pre><code>import { component  oninit } from  @angular/core ; import { navcontroller } from  ionic-angular ;  import * as leaflet from  leaflet ;  @component({   selector:  page-street     templateurl:  street.html  }) export class streetpage {  private latlng: any;   private marker: any;   private map: any;     constructor(public navctrl: navcontroller) {    }   ngoninit(): void {     this.drawmap();   }   drawmap(): void {     let map = leaflet.map( map );     leaflet.tilelayer( http://{s}.tile.osm.org/{z}/{x}/{y}.png   {       maxzoom: 15     }).addto(map);      map.locate({ setview: true});     function onlocationfound(e) {             var radius = e.accuracy / 3;            leaflet.marker(e.latlng  {draggable: true }).addto(map);       leaflet.circle(e.latlng  radius).addto(map);     }     map.on( locationfound   onlocationfound);     //alert on location error     function onlocationerror(e) {       alert(e.message);     }     map.on( locationerror   onlocationerror);   }    } </code></pre>   any idea to solve it     <strong>update:</strong>    error for <code>{draggable: true }</code> :   <blockquote>    <strong>typescript error</strong>    argument of type  { draggable: string; }  is not   assignable to parameter of type  markeroptions . types of property    draggable  are incompatible. type  string  is not assignable to type    boolean  </blockquote>   error for <code>{draggable: true}</code> :   <blockquote>    <strong>typescript error</strong> argument of type  { draggable: true; }  is not assignable to parameter of type  markeroptions . property  options  is   missing in type  { draggable: true  </blockquote>
image-processing|matlab,haar filtered images  i use lena image 256x256 uint8 and i ve applied haar filter   <pre><code>dwt2(startimage  haar   mode   sym ); </code></pre>   when i see the horizontal  vertical and diagonal filtered images   i see lena details but as if they were in black and white  and the correspondent matrices have negatives entries (!). and if i see the average image  i just see a white square. searching for help in matlab 7.11  i saw the example  it works for a mat file  and using wcodemat function  but i need to load the image via    <pre><code>j = imread( lena.tif ); </code></pre>   beacuse i am planing to work with a great number of images in order to train a discriminant etc. how can i get the scaled images correctly  help me to solve this issue.
java|hadoop,hadoop on mac os x  hadoopillegalargumentexception: an xattr name must be prefixed  error  today i tried to install hadoop on my mac os x lion following the instructions at <a href= http://getblueshift.com/setting-up-hadoop-2-4-and-pig-0-12-on-osx-locally/  rel= nofollow >setting up hadoop 2.4 and pig 0.12 on osx locally</a>    i have correctly set the    <blockquote>    java_home=/library/java/javavirtualmachines/jdk1.7.0_71.jdk/contents/home set both ~/.bash_profile and .bashrc  </blockquote>   and successfully installed the latest version of hadoop (2.6.0) using brew and edited those 4 configuration files: <strong>hdfs.site.xml  core-site.xml  mapred-site.xml  yarn-site.xml</strong> accordingly.     but running:   <blockquote>    ./bin/hdfs namenode -format  </blockquote>   gives:   <pre><code>15/01/29 17:42:01 info namenode.namenode: startup_msg:  /************************************************************ startup_msg: starting namenode startup_msg:   host = venuses-mac-mini.local/192.168.1.51 startup_msg:   args = [-format] startup_msg:   version = 2.6.0 startup_msg:   classpath = /usr/local/cellar/hadoop/2.6.0/libexec    /etc/hadoop:/usr/local/cellar/hadoop/2.6.0/libexec/share/hadoop/common    /lib/activation-1.1.jar &lt;truncated - big chunk of code containing .jar filenames&gt;  startup_msg:   build = https://git-wip-us.apache.org/repos    /asf/hadoop.git -r e3496499ecb8d220fba99dc5ed4c99c8f9e33bb1; compiled by  jenkins  on 2014-11-13t21:10z startup_msg:   java = 1.6.0_29 &lt;truncated - big chunk of .jar filnames truncated&gt; ************************************************************/ 15/01/29 17:42:01 info namenode.namenode: registered unix signal    handlers for [term  hup  int] 15/01/29 17:42:01 info namenode.namenode: createnamenode [-format] 2015-01-29 17:42:02.551 java[1016:1903] unable to load realm info     from scdynamicstore 15/01/29 17:42:02 warn util.nativecodeloader: unable to load native-hadoop library for your platform... using builtin-java classes where applicable formatting using clusterid: cid-aaa7a5a6-3e82-4166-8039-16046f1b4761 &lt;truncated&gt; 15/01/29 17:42:03 error namenode.fsnamesystem: fsnamesystem initialization failed. org.apache.hadoop.hadoopillegalargumentexception: an xattr name must  be  prefixed with user/trusted/security/system/raw  followed by a  .  at org.apache.hadoop.hdfs.xattrhelper.buildxattr(xattrhelper.java:72) at org.apache.hadoop.hdfs.server.namenode.fsdirectory.&lt;init&gt;(fsdirectory.java:137) at org.apache.hadoop.hdfs.server.namenode.fsnamesystem.&lt;init&gt;(fsnamesystem.java:894) at org.apache.hadoop.hdfs.server.namenode.fsnamesystem.&lt;init&gt;(fsnamesystem.java:755) at org.apache.hadoop.hdfs.server.namenode.namenode.format(namenode.java:934) at org.apache.hadoop.hdfs.server.namenode.namenode.createnamenode(namenode.java:1379) at   org.apache.hadoop.hdfs.server.namenode.namenode.main(namenode.java:1504) 15/01/29 17:42:03 info namenode.fsnamesystem: stopping services started for active state 15/01/29 17:42:03 info namenode.fsnamesystem: stopping services started for standby state 15/01/29 17:42:03 fatal namenode.namenode: failed to start namenode. &lt;truncated&gt; 15/01/29 17:42:03 info util.exitutil: exiting with status 1 15/01/29 17:42:03 info namenode.namenode: shutdown_msg:  </code></pre>   2 versions of java is installed on my mac hadoop takes the older version  1.6.0_29  not the current version  1.7.0_72. i don t know hot to make hadoop take the current java version into account.     note: i  ve made an extensive search on google and could not find a solution for this particular error.     thanks.
javascript|testing|mocha|chai,testing js promises with mocha  chai  chaiaspromised and sinon  i m trying to test a function that reads in a file and returns a promise with the file s contents.   <pre><code>function filecontents(){   return new promise(function(resolve  reject) {     fs.readfile(filename  function(err  data){       if (err) { reject(err); }       else { resolve(data); }     });   }); } </code></pre>   the unit test for the above   <pre><code>describe( testing filecontents   function () {  aftereach(function () {     fs.readfile.restore(); });  it( should return the contents of the fallback file   function () {     let filecontents =  &lt;div class= some-class &gt;some text&lt;/div&gt; ;      sinon.stub(fs   readfile ).returns(function(path  callback) {         callback(null  filecontents);     });      let filecontentspromise = filecontents();      return filecontentspromise       .then(data =&gt; {         expect(data).to.eventually.equal(filecontents);       });   }); </code></pre>   the above test errs with   <pre><code> error: timeout of 2000ms exceeded. for async tests and hooks  ensure  done()  is called; if returning a promise  ensure it resolves. </code></pre>   i also tried   <pre><code>describe( testing filecontents   function () {    aftereach(function () {     fs.readfile.restore();   });    it( should return the contents of the fallback file   function (done) {     let filecontents =  &lt;div class= some-class &gt;some text&lt;/div&gt; ;      sinon.stub(fs   readfile ).returns(function(path  callback) {         callback(null  filecontents);     });      let filecontentspromise = filecontents();    filecontentspromise.then(function(data){     expect(data).to.equal(filecontents);     done();   }); }); </code></pre>   and got the same error. the function is working in my local site  but i don t know how to write a test for it. i m new to js. what am i missing
javascript|css|html5|css3,is css 3 transition do not work with template element (html 5) in case of adding class...   is transistion do not work with template element (html5) in case of adding class...      i am using template of html 5 for adding new child to root element via javascript.  to makes a good visual effect  i am using some css transition. usually  all of transition of css is working as well but i can t make it happen with adding new element from html 5 template    could someone help me please    my code is simplyfied ad bellow    css   <pre><code>&lt;style type= text/css &gt; .ini {     position: relative;     left: 200px;     top: 200px;     width: 300px;     height: 200px;     background-color: #f0f; }  .show {     transition: all 3s ease;     left: 200px;     top: 200px;     width: 500px;     height: 200px;     background-color: #f0f; } </code></pre>   html   <pre><code>&lt;body&gt;     &lt;h1 class= text-center &gt;component test bed&lt;/h1&gt;     &lt;!-- &lt;div class= ini &gt;&lt;/div&gt; --&gt;     &lt;div id= root &gt;&lt;/div&gt;     &lt;button onclick= transform() &gt;click&lt;/button&gt;     &lt;template id= myelem &gt;         &lt;div class= ini &gt;&lt;/div&gt;     &lt;/template&gt; &lt;/body&gt; </code></pre>   javascript   <pre><code>function transform() {     var root = document.queryselector( #root );     var template_content = document.queryselector( #myelem ).content;     root.appendchild(document.importnode(template_content  true));     var el = root.queryselector( .ini );     console.log(root);     el.classlist.add( show ); } </code></pre>   thank in advance
java|eclipse,how to accept input from the keyboard using java   i want this syntax except scanner.i know scanner works good for this program.   <pre><code>bufferedreader br=new bufferedreader(new inputstreamreader(system.in)); system.out.print( enter usn: ); string usn=br.readline(); </code></pre>   i want to accept both integer and character type input from the keyboard in a single line.
autohotkey,autohotkey: how to remap ctrl with alt key and  i would like to switch the keys     <strong>alt</strong> and <strong>ctrl</strong>     as well as add     <strong>alt down</strong> keys together to behave the same as <strong>alt tab</strong>    i have tried with the following script but each works by its own  but not together!   <pre><code>; !!!!!!!!!!!! this is what is added to the standard script !!!!!!!!!!!!!! lalt &amp; down::alttab  lalt::lctrl </code></pre>   i am using autohotkey v1.1.13.01. it is not the latest because i can t use the latest one for a reason.     shouldn t this work
tivoli,tws exit status meaning  i was going through the tws logs and found that it gives exit status as 0  1 and so on.. i am not sure what these exit status mean.    can some one please pass the list of tws exit status with their description.
php,php comment box inside sidebar show number 1  how to get rid of it   i have problem with my (made with tutorial) php comment box.     the problem is this number 1. i think that problem is in last code  but as i am beginner i don t know where is problem.    i m posting all 3 php files without header and footer file.    <a href= http://i.stack.imgur.com/in2xf.png  rel= nofollow >prtsc of problem on page</a>    <a href= http://i.stack.imgur.com/f6fkx.png  rel= nofollow >source code in chrome of page</a>    this is full code in php....    first php file    <pre><code>&lt; php         $title =  filmovirecenzije ;     $content =         &lt;img src= slike_filmovi/novo_mockingjay2.jpg  class= imgleft /&gt;     &lt;h2&gt;the hunger games: mockingjay - part 2 (2015)&lt;/h2&gt;     &lt;p&gt;&lt;i&gt; žanr: avantura  znanstvena fantastika &lt;/i&gt;&lt;/p&gt;     &lt;p&gt;režija: francis lawrence&lt;p&gt;     &lt;h4&gt;         u grand finalu spektakularne kino-hit franšize igre gladi katniss everdeen (jennifer lawrence)      nakon što je postala vođa masovne pobune potlačenih  zajedno sa distriktom 13 pokreće      sveopću revoluciju protiv autokratskog kapitola. katniss nastavlja svoju ulogu heroja     koji se u nevjerojatnoj bitci za preživljavanje bori za svoj narod!      &lt;/h4&gt;      &lt;dev class= videocenter &gt;     &lt;iframe width= 720  height= 405  src= https://www.youtube.com/embed/n-7k_ojsdcq  frameborder= 0  allowfullscreen&gt;&lt;/iframe&gt;     &lt;/dev&gt;      ;       include ( template_mockingjay2.php );       &gt; </code></pre>   next file which is connected through  include  is:   <pre><code>&lt; php include( header.php );  &gt;         &lt;div id= wrapper &gt;             &lt;div id= banner &gt;          &lt;/div&gt;          &lt;nav id= navigation &gt;             &lt;ul id= nav &gt;                 &lt;li&gt;&lt;a href= pocetna.php &gt;početna &lt;/a&gt;&lt;/li&gt;                 &lt;li&gt;&lt;a href= novi_filmovi.php &gt;novi filmovi&lt;/a&gt;&lt;/li&gt;                 &lt;li&gt;&lt;a href= kontakt.php &gt;kontakt&lt;/a&gt;&lt;/li&gt;             &lt;/ul&gt;         &lt;/nav&gt;          &lt;div id= content_area &gt;             &lt; php echo $content;  &gt;         &lt;/div&gt;          &lt;div id= sidebar &gt;              &lt; php echo include( novo_mockingjay2_komentar.php );   &gt;              &lt;/div&gt;   &lt; php include ( footer.php );  &gt; </code></pre>   and last file for mysql  same included is:    <pre><code>&lt; php mysql_connect( localhost   root    ); mysql_select_db( db_komentari ); if (isset($_post[ ime ]) &amp;&amp; isset($_post[ komentar ])){     // $ime = isset($_post[ ime ])   $_post[ ime ] :      $ime = $_post[ ime ];     $komentar = $_post[ komentar ];     $submit = $_post[ submit ];      $dblink = mysql_connect( localhost   root    );      if($submit)     {     if($ime&amp;&amp;$komentar)     {     $insert=mysql_query( insert into novo_mockingjay2 (ime komentar) values ( $ime   $komentar )  );     echo  &lt;meta http-equiv= refresh  content= 0; url=novo_mockingjay2.php &gt; ;     }     else     {     echo  molim vas ispunite oba polja ;     }     }     }  &gt;  &lt;meta http-equiv= content-type  content= text/html; charset=utf-8  /&gt; &lt;title&gt;komentari&lt;/title&gt;   &lt;center&gt; &lt;form action= novo_mockingjay2.php  method= post &gt; &lt;table&gt;     &lt;tr&gt;&lt;td&gt;ime: &lt;br&gt;&lt;input type= text  name= ime /&gt;&lt;/td&gt;&lt;/tr&gt;     &lt;tr&gt;&lt;td colspan= 2 &gt;komentar: &lt;/td&gt;&lt;/tr&gt;     &lt;tr&gt;&lt;td colspan= 5 &gt;&lt;textarea name= komentar  rows= 1  cols= 18 &gt;&lt;/textarea&gt;&lt;/td&gt;&lt;/tr&gt;     &lt;tr&gt;&lt;td colspan= 2 &gt;&lt;input type= submit  name= submit  value= objavi &gt;&lt;/td&gt;&lt;/tr&gt; &lt;/table&gt; &lt;/form&gt;  &lt; php     $dblink = mysql_connect( localhost   root    );       $getquery=mysql_query( select * from novo_mockingjay2 order by id desc );     while($rows=mysql_fetch_assoc($getquery))     {     $id=$rows[ id ];     $ime=$rows[ ime ];     $komentar=$rows[ komentar ];     echo $ime .  :&lt;br/&gt;  . $komentar .  &lt;br/&gt;  .  &lt;br/&gt;  .  &lt;hr size= 4 /&gt; ;}   &gt; </code></pre>   thank you in advance!
nlp|wordnet,how to use wordnet2sql tools   i am learning about some technology in nlp. now i want to use wordnet2sql tool. but when i use this tool i got only tables frame and i didn t got data in this table. i can i do to get the wordnet database using wordnet2sql  please help me! now i am using window7 os and mysql for database management.
c++11|asynchronous,c++ rest sdk getting a value from initial call  have the async code working but don t see how i can use the values return in the main code.  is this possible   all the examples i have seen show all logic in the .then continuations.  i don t want to convert all the code to async just the web api call.     <pre><code>pplx::task&lt;void&gt; getxmlasync() {     http_client client( url )     return client.request().then([=](http_response response) {         &lt;&lt; get result  parse it and return the **values** &gt;&gt;     });  int main(int argc  char* argv[]){     getxmlasync().wait();     use the **values** in the rest of the code } </code></pre>   appreciate any insight on this.  thanks
c#|asp.net|sql-server|lambda,debug lambda expressions in c#  i am querying a sql server database from my asp.net application in c#. following is a part of my database schema.    <img src= https://i.stack.imgur.com/3owf0.png  alt= enter image description here >    i wrote following expression to get data from the database.   <pre><code>var query = db.dbmovies.where(ent =&gt; ent.id == id).join(db.dbcategories      r =&gt; r.id      l =&gt; l.categoryid      (r  l) =&gt; new     {        id = r.id         moviename = r.name         year = r.year         category = r.genre         posterurl = r.posterurl  });  foreach (var movie in query) {     //something } </code></pre>   in the part <code>ent.id == id</code>  the <code>id</code> in the right refers to a parameter value. i referred <a href= http://msdn.microsoft.com/en-us/library/bb669071.aspx  rel= nofollow noreferrer >this</a> tutorial  but when i execute this  the execution does not get inside the foreach loop. i created a breakpoint inside the foreach loop and noticed that it didn t hit. can somebody help me to find out the issue  and please suggest a way to quick watch the values returned by a lambda expression if possible.    thank you.    <strong>edit:</strong>    i changed the query as i have made a huge mistake first time  but i don t see any success even now.   <pre><code>var query = db.dbmovietocategory.where(ent =&gt; ent.categoryid == id).join(db.dbmovies  r =&gt; r.movieid  l =&gt; l.id  (r  l) =&gt; new {     id = l.id      moviename = l.name      year = l.year      category = l.genre      posterurl = l.posterurl  }); </code></pre>
